feature,importance
numeric__age,0.1121157852313081
categorical__marital-status_Married-civ-spouse,0.10546537319303274
categorical__relationship_Husband,0.0994023396600796
numeric__education-num,0.08683942687849729
numeric__capital-gain,0.08513619711514536
categorical__marital-status_Never-married,0.06144787118150564
numeric__hours-per-week,0.059079983881084236
numeric__fnlwgt,0.05641655282612497
categorical__relationship_Own-child,0.026035094190341154
numeric__capital-loss,0.021837146815262113
categorical__relationship_Not-in-family,0.019879686706792486
categorical__relationship_Wife,0.019775479874276976
categorical__occupation_Exec-managerial,0.017542613125787736
categorical__sex_Male,0.016689227086679578
categorical__education_Bachelors,0.014962829091360381
categorical__sex_Female,0.014111923236881353
categorical__occupation_Other-service,0.013256844982829408
categorical__education_HS-grad,0.010905947176028278
categorical__education_Masters,0.010033714245063503
categorical__marital-status_Divorced,0.00993489751908711
