date,actual,seasonal_naive,ridge
1959-01-01,360,340.0,361.409
1959-02-01,342,318.0,350.765
1959-03-01,406,362.0,386.12
1959-04-01,396,348.0,390.885
1959-05-01,420,363.0,403.356
1959-06-01,472,435.0,467.215
1959-07-01,548,491.0,521.992
1959-08-01,559,505.0,546.119
1959-09-01,463,404.0,463.362
1959-10-01,407,359.0,404.568
1959-11-01,362,310.0,351.49
1959-12-01,405,337.0,363.666
1960-01-01,417,360.0,391.974
1960-02-01,391,342.0,382.363
1960-03-01,419,406.0,432.3
1960-04-01,461,396.0,433.091
1960-05-01,472,420.0,463.261
1960-06-01,535,472.0,508.331
1960-07-01,622,548.0,581.497
1960-08-01,606,559.0,605.4
1960-09-01,508,463.0,521.28
1960-10-01,461,407.0,453.185
1960-11-01,390,362.0,405.146
1960-12-01,432,405.0,425.062
